core,400_perlbench,401_bzip2,403_gcc,410_bwaves,416_gamess,429_mcf,433_milc,434_zeusmp,435_gromacs,436_cactusADM,437_leslie3d,444_namd,445_gobmk,447_dealII,450_soplex,454_calculix,456_hmmer,458_sjeng,459_GemsFDTD,462_libquantum,464_h264ref,465_tonto,470_lbm,471_omnetpp,473_astar,483_xalancbmk
11,1.43695004251e-10,1.32044829358e-10,1.45766020546e-10,1.66941036025e-10,1.62767453261e-10,7.86603391789e-10,2.43215287197e-10,2.1253633348e-10,1.95897508963e-10,2.70198486141e-10,2.97182962114e-10,1.09485553982e-10,1.4865316799e-10,1.45502109849e-10,2.63329258826e-10,1.98906817343e-10,1.32464712407e-10,1.31295290849e-10,3.58132329149e-10,2.86545720583e-10,1.52776457241e-10,1.66035883887e-10,2.54387030087e-10,1.10024957216e-10,1.42012231019e-10,1.54596401293e-10
12,1.42779909582e-10,1.36721128765e-10,1.30886030487e-10,1.51563340802e-10,1.5590704884e-10,5.86318951928e-10,2.03551455881e-10,1.8711482248e-10,1.81168893741e-10,2.47214630877e-10,2.61343194849e-10,1.10593753495e-10,1.29885275269e-10,1.4987391354e-10,2.20613362623e-10,1.65228037875e-10,1.78611788508e-10,1.22443921072e-10,3.12272492974e-10,2.25891767411e-10,1.70458414115e-10,1.58494207661e-10,2.18745933539e-10,9.99404275433e-11,1.42867865249e-10,1.52250954844e-10
13,1.4581026554e-10,1.4224458037e-10,1.36614181943e-10,1.59064738311e-10,1.63444326878e-10,6.2293208414e-10,2.14876716293e-10,1.98465445919e-10,1.89360394314e-10,2.60035510063e-10,2.7746418142e-10,1.15372296682e-10,1.35375567397e-10,1.56711228199e-10,2.3322698843e-10,1.74026917979e-10,1.89210872579e-10,1.2869585628e-10,3.0819283253e-10,2.41038736917e-10,1.78969304175e-10,1.6558173517e-10,2.30650468794e-10,1.03535875538e-10,1.49730288027e-10,1.58064217628e-10
14,1.69238762941e-10,1.65484919592e-10,1.60782984269e-10,1.86078220311e-10,1.90026886541e-10,7.6617738759e-10,2.5475872923e-10,2.34591184341e-10,2.21266069986e-10,3.03385897175e-10,3.31068731879e-10,1.33947475143e-10,1.5845915537e-10,1.82825433166e-10,2.81674310984e-10,2.04813265485e-10,2.20511501539e-10,1.52176517137e-10,3.6586458577e-10,2.95260584481e-10,2.07943942892e-10,1.9213710498e-10,2.73030143357e-10,1.23214373841e-10,1.75536965713e-10,1.83293791729e-10
15,1.936656447e-10,1.89743159798e-10,1.84607315893e-10,2.14377406718e-10,2.19862340751e-10,9.26065653442e-10,2.980647644e-10,2.76453451679e-10,2.57162678016e-10,3.54053719063e-10,3.92480320555e-10,1.5040246539e-10,1.8219547524e-10,2.11392204811e-10,3.31016945619e-10,2.3855645522e-10,2.59769290572e-10,1.74871832168e-10,4.38156245379e-10,3.51663245527e-10,2.40998015389e-10,2.21593344327e-10,3.16380832938e-10,1.39901718418e-10,2.02761449804e-10,2.04535826535e-10
16,1.21711709133e-10,1.17691576105e-10,1.12886267961e-10,1.3333527254e-10,1.33089670262e-10,5.08577517958e-10,1.79581567419e-10,1.60904818716e-10,1.57897858809e-10,2.16907401896e-10,2.18652839489e-10,9.61382986419e-11,1.10754768411e-10,1.29363331159e-10,1.89429474161e-10,1.4737953302e-10,1.23373179143e-10,1.04209029531e-10,2.73496044494e-10,1.95067967688e-10,1.3934021915e-10,1.37428397999e-10,1.87274948519e-10,8.66897770787e-11,1.2227897451e-10,1.30410710016e-10
17,1.24731783485e-10,1.23218284456e-10,1.18436133386e-10,1.40839867982e-10,1.40078219764e-10,5.45808490119e-10,1.90915203922e-10,1.72039177114e-10,1.65897872829e-10,2.29408216469e-10,2.33058571416e-10,1.00904233793e-10,1.16107707853e-10,1.36080901434e-10,2.02003618553e-10,1.56158618219e-10,1.2978509279e-10,1.10106758568e-10,2.72167505662e-10,2.1021626337e-10,1.47039341852e-10,1.44328971854e-10,1.99148768258e-10,9.03579118883e-11,1.28937769678e-10,1.3608558103e-10
18,1.77767092008e-10,1.78047213453e-10,1.70143985322e-10,1.95962066315e-10,1.96258590105e-10,7.79425443654e-10,2.66004125477e-10,2.41338195968e-10,2.29987962659e-10,3.19367755033e-10,3.28248298283e-10,1.44853641421e-10,1.6663710493e-10,1.93536388528e-10,2.91087916305e-10,2.12635922048e-10,1.89697180032e-10,1.58304360248e-10,3.80509052419e-10,3.08061467518e-10,2.15583062908e-10,2.02759185674e-10,2.83359256982e-10,1.28553096306e-10,1.86594905792e-10,1.91245822855e-10
19,1.70739531328e-10,1.7008390554e-10,1.65341829982e-10,1.96123468881e-10,1.93604183392e-10,8.48337593423e-10,2.74100291817e-10,2.48948910933e-10,2.31942941954e-10,3.21683290773e-10,3.39399859459e-10,1.35869784713e-10,1.61710610269e-10,1.89603829139e-10,2.99135580846e-10,2.20597321897e-10,1.78753143799e-10,1.54479632072e-10,4.01764896805e-10,3.2084569987e-10,2.04790451517e-10,1.99234175586e-10,2.84710306827e-10,1.2626530737e-10,1.80591201298e-10,1.81863890416e-10
20,8.95525508661e-11,8.38393465797e-11,8.49284344117e-11,1.09085841595e-10,1.02588716449e-10,4.60895185125e-10,1.52850384528e-10,1.34427200257e-10,1.27083982042e-10,1.70445723959e-10,1.82291376529e-10,6.92580335442e-11,8.33769536397e-11,9.37944203056e-11,1.59250518523e-10,1.28673923235e-10,8.18856154922e-11,8.02715796132e-11,2.33937303749e-10,1.64954987615e-10,9.28788741679e-11,1.05660136397e-10,1.6105409141e-10,7.12373259311e-11,8.85578526335e-11,1.0163599196e-10
